Assignment,Assigned,Due,State,Days Until Due,Occurrences Found,Source Lines,Notes
"AAMC Biology Question Packs, Vol 1",7/20/2026,,Not started,,1,459-463,
"AAMC Biology Question Packs, Vol 2",7/27/2026,,Not started,,1,283-287,
AAMC CARS Passage,5/11/2026,,Not started,,1,46-50,
AAMC CARS Passage,5/12/2026,,Not started,,1,51-55,
AAMC CARS Passage,5/13/2026,,Not started,,1,56-60,
AAMC CARS Passage,5/14/2026,,Not started,,1,61-65,
AAMC CARS Passage,5/15/2026,,Not started,,1,66-70,
AAMC CARS Passage,5/18/2026,,Not started,,1,91-95,
AAMC CARS Passage,5/19/2026,,Not started,,1,96-100,
AAMC CARS Passage,5/20/2026,,Not started,,1,101-105,
AAMC CARS Passage,5/21/2026,,Not started,,2,"106-110, 734-738",
AAMC CARS Passage,5/22/2026,,Not started,,2,"111-115, 739-743",
AAMC CARS Passage,5/25/2026,,Not started,,1,764-768,
AAMC CARS Passage,5/26/2026,,Not started,,1,769-773,
AAMC CARS Passage,5/27/2026,,Not started,,1,774-778,
AAMC CARS Passage,6/1/2026,,Not started,,1,809-813,
AAMC CARS Passage,6/2/2026,,Not started,,1,814-818,
AAMC CARS Passage,6/3/2026,,Not started,,1,819-823,
AAMC CARS Passage,6/4/2026,,Not started,,1,824-828,
AAMC CARS Passage,6/5/2026,,Not started,,2,"611-615, 829-833",
AAMC CARS Passage,6/8/2026,,Not started,,1,650-653,
AAMC CARS Passage,6/9/2026,,Not started,,1,654-657,
AAMC CARS Passage,6/10/2026,,Not started,,1,658-662,
AAMC CARS Passage,6/15/2026,,Not started,,1,703-707,
AAMC CARS Passage,6/16/2026,,Not started,,1,713-717,"Possible OCR date contamination: raw dates were Tue, Jun 16th, Mon, Jun 22nd; due cleared because AAMC CARS Passage rows normally have no due date in the dashboard."
AAMC CARS Passage,6/17/2026,,Not started,,2,"490-494, 718-722",
AAMC CARS Passage,6/18/2026,,Not started,,1,495-499,
AAMC CARS Passage,6/19/2026,,Not started,,1,500-504,
AAMC CARS Passage,6/22/2026,,Not started,,1,530-534,
AAMC CARS Passage,6/23/2026,,Not started,,1,535-539,
AAMC CARS Passage,6/24/2026,,Not started,,1,540-544,
AAMC CARS Passage,6/25/2026,,Not started,,1,545-549,
AAMC CARS Passage,6/26/2026,,Not started,,1,550-554,
AAMC CARS Passage,6/29/2026,,Not started,,1,575-579,
AAMC CARS Passage,6/30/2026,,Not started,,1,580-584,
AAMC CARS Passage,7/1/2026,,Not started,,1,585-589,
AAMC CARS Passage,7/6/2026,,Not started,,2,"364-368, 600-604",
AAMC CARS Passage,7/7/2026,,Not started,,1,369-373,
AAMC CARS Passage,7/8/2026,,Not started,,1,374-378,
AAMC CARS Passage,7/9/2026,,Not started,,1,379-383,
AAMC CARS Passage,7/10/2026,,Not started,,1,384-388,
AAMC CARS Passage,7/13/2026,,Not started,,1,414-418,
AAMC CARS Passage,7/14/2026,,Not started,,1,419-423,
AAMC CARS Passage,7/15/2026,,Not started,,1,424-428,
AAMC CARS Passage,7/20/2026,,Not started,,1,454-458,
AAMC CARS Passage,7/21/2026,,Not started,,1,464-468,
AAMC CARS Passage,7/22/2026,,Not started,,2,"243-247, 469-473",
AAMC CARS Passage,7/27/2026,,Not started,,1,278-282,
AAMC CARS Passage,7/28/2026,,Not started,,2,"122-126, 293-297",
AAMC CARS Passage,7/29/2026,,Not started,,2,"132-136, 303-307",
AAMC Chemistry Question Pack,6/8/2026,,Not started,,1,646-649,
AAMC Official Guide Practice B/B,8/5/2026,,Not started,,2,"182-186, 353-357",
AAMC Official Guide Practice C/P,8/4/2026,,Not started,,2,"177-181, 348-352",
AAMC Official Guide Practice P/S,8/3/2026,,Not started,,2,"172-176, 343-347",
AAMC Physics Question Pack,6/15/2026,6/22/2026,Not started,16,1,708-712,
"AAMC Section Bank, Vol 1 - B/B",8/9/2026,8/16/2026,Not started,71,1,202-206,
"AAMC Section Bank, Vol 1 - C/P",8/6/2026,,Not started,,1,187-191,
"AAMC Section Bank, Vol 1 - P/S",8/10/2026,,Not started,,1,207-211,
"AAMC Section Bank, Vol 2 - B/B",8/12/2026,,Not started,,1,217-221,
"AAMC Section Bank, Vol 2 - C/P",8/11/2026,,Not started,,1,212-216,
"AAMC Section Bank, Vol 2 - P/S",8/13/2026,,Not started,,1,222-226,
BBF (Vol I) Chapter 1,6/13/2026,6/20/2026,Not started,14,1,677-680,
BBF (Vol I) Chapter 2,6/13/2026,6/20/2026,Not started,14,1,673-676,
BBF (Vol I) Chapter 3,6/20/2026,6/27/2026,Not started,21,1,515-519,
BBF (Vol I) Chapter 4,6/20/2026,6/27/2026,Not started,21,1,505-509,
BBF (Vol I) Chapter 5,6/21/2026,6/28/2026,Not started,22,1,525-529,
BBF (Vol I) Chapter 6,6/27/2026,7/4/2026,Not started,28,1,560-564,
BBF (Vol II) Chapter 1,6/27/2026,7/4/2026,Not started,28,1,555-559,
BBF (Vol II) Chapter 2,7/11/2026,7/18/2026,Not started,42,1,399-403,
BBF (Vol II) Chapter 3,7/11/2026,7/18/2026,Not started,42,1,394-398,
BBF (Vol II) Chapter 4,7/12/2026,7/19/2026,Not started,43,1,409-413,
BBF (Vol II) Chapter 5,7/18/2026,7/25/2026,Not started,49,1,444-448,
CARS Chapter 1,6/5/2026,6/12/2026,Not started,6,2,"616-620, 834-838",
CARS Chapter 2,6/20/2026,6/27/2026,Not started,21,1,510-514,
CARS Chapter 3,7/11/2026,7/18/2026,Not started,42,1,389-393,
CARS Chapter 4,7/27/2026,8/3/2026,Not started,58,1,288-292,
CARS Chapter 5,7/28/2026,8/4/2026,Not started,59,2,"127-131, 298-302",
CARS In Class Passages,6/6/2026,6/13/2026,Not started,7,2,"621-625, 839-843",
CARS In Class Passages,6/21/2026,6/28/2026,Not started,22,1,520-524,
CARS In Class Passages,7/12/2026,7/19/2026,Not started,43,1,404-408,
CARS In Class Passages,8/1/2026,8/8/2026,Not started,63,4,"147-151, 152-156, 318-322, 323-327",
CPF (Vol I) Chapter 1,5/9/2026,5/16/2026,Complete,-21,1,26-30,
CPF (Vol I) Chapter 2,5/9/2026,5/16/2026,Complete,-21,1,31-35,
CPF (Vol I) Chapter 3,5/10/2026,5/17/2026,Complete,-20,1,41-45,
CPF (Vol I) Chapter 4,5/10/2026,5/17/2026,Complete,-20,1,36-40,
CPF (Vol I) Chapter 5,5/16/2026,5/23/2026,Complete,-14,1,71-75,
CPF (Vol I) Chapter 6,5/16/2026,5/23/2026,Complete,-14,1,76-80,
CPF (Vol I) Chapter 7,5/23/2026,5/30/2026,Complete,-7,1,749-753,
CPF (Vol I) Chapter 7,6/7/2026,6/14/2026,Not started,8,1,641-645,
CPF (Vol I) Chapter 8,5/23/2026,5/30/2026,Overdue,-7,1,744-748,
CPF (Vol II) Chapter 1,5/24/2026,5/31/2026,Complete,-6,1,759-763,
CPF (Vol II) Chapter 2,5/24/2026,5/31/2026,Overdue,-6,1,754-758,
CPF (Vol II) Chapter 3,5/30/2026,6/6/2026,Complete,0,1,794-798,
CPF (Vol II) Chapter 4,5/30/2026,6/6/2026,Complete,0,1,789-793,
CPF (Vol II) Chapter 5,6/6/2026,6/13/2026,Not started,7,1,626-630,
CPF (Vol II) Chapter 6,6/7/2026,6/14/2026,Not started,8,1,636-640,
Diagnostic Exam,5/7/2026,5/14/2026,Complete,-23,1,16-20,
Elite 515 Orientation,5/6/2026,,Complete,,1,11-15,
Exam Dissection - Diagnostic Exam,5/8/2026,5/15/2026,Complete,-22,1,21-25,
Exam Dissection - FLE 1,5/29/2026,6/5/2026,Not started,-1,1,784-788,
Exam Dissection - FLE 2,6/12/2026,6/19/2026,Not started,13,1,668-672,
Exam Dissection - FLE 3,7/3/2026,7/10/2026,Not started,34,1,595-599,
Exam Dissection - FLE 4,7/17/2026,7/24/2026,Not started,48,1,434-438,
Exam Dissection - FLE 5,7/24/2026,7/31/2026,Not started,55,1,253-257,
Exam Dissection - FLE 6,7/31/2026,8/7/2026,Not started,62,2,"142-146, 313-317",
Exam Dissection - FLE 7,8/8/2026,8/15/2026,Not started,70,1,197-201,
Exam Dissection - FLE 8,8/15/2026,,Not started,,1,232-236,
Feedback Survey 1,6/13/2026,6/20/2026,Not started,14,1,685-689,
Final Feedback Survey,8/2/2026,8/9/2026,Not started,64,2,"162-166, 333-337",
Full Length Exam Practice # 1,5/28/2026,6/4/2026,Overdue,-2,1,779-783,
Full Length Exam Practice # 2,6/11/2026,6/18/2026,Not started,12,1,663-667,
Full Length Exam Practice # 3,7/2/2026,7/9/2026,Not started,33,1,590-594,
Full Length Exam Practice # 4,7/16/2026,7/23/2026,Not started,47,1,429-433,
Full Length Exam Practice # 5,7/23/2026,7/30/2026,Not started,54,2,"248-252, 474-478",
Full Length Exam Practice # 6,7/30/2026,8/6/2026,Not started,61,2,"137-141, 308-312",
Full Length Exam Practice # 7,8/7/2026,8/14/2026,Not started,69,1,192-196,
Full Length Exam Practice # 8,8/14/2026,,Not started,,1,227-231,
General Chemistry Instructor Feedback,6/13/2026,6/21/2026,Not started,15,1,681-684,
MCAT 2-Hour Practice Test,,,Not started,,1,6-10,
Midterm Feedback Survey,6/7/2026,6/14/2026,Not started,8,1,631-635,
Physics Instructor Feedback,6/13/2026,6/21/2026,Not started,15,1,690-693,
PSF Chapter 1,7/18/2026,7/25/2026,Not started,49,1,439-443,
PSF Chapter 2,7/25/2026,8/1/2026,Not started,56,1,263-267,
PSF Chapter 3,7/25/2026,8/1/2026,Not started,56,1,258-262,
PSF Chapter 4,7/26/2026,8/2/2026,Not started,57,1,268-272,
PSF Chapter 5,7/26/2026,8/2/2026,Not started,57,1,273-277,
Review 1,5/17/2026,5/24/2026,Complete,-13,1,86-90,
Review 11,8/2/2026,8/9/2026,Not started,64,2,"167-171, 338-342",
Review 12,8/2/2026,8/9/2026,Not started,64,2,"157-161, 328-332",
Review 2,5/17/2026,5/24/2026,Complete,-13,1,81-85,
Review 3,5/31/2026,6/7/2026,Not started,1,1,804-808,
Review 4,5/31/2026,6/7/2026,Not started,1,1,799-803,
Review 5,6/14/2026,6/21/2026,Not started,15,1,698-702,
Review 6,6/14/2026,6/21/2026,Not started,15,1,694-697,
Review 7,6/28/2026,7/5/2026,Not started,29,1,570-574,
Review 8,6/28/2026,7/5/2026,Not started,29,1,565-569,
Review 9,7/19/2026,7/26/2026,Not started,50,1,449-453,